FID,NAME,ADDRESS,CITY,STATE,ZIP
263,INFOCISION STADIUM/SUMMA FIELD,SOUTH UNION STREET AND VINE STREET,AKRON,OH,44304
264,CHILDREN'S MERCY PARK,1 SPORTING WAY,KANSAS CITY,KS,66111
265,RED BULL ARENA,600 CAPE MAY ST,HARRISON,NJ,7029
266,SEFCU ARENA,1400 WASHINGTON AVENUE,ALBANY,NY,12206
267,DICK'S SPORTING GOODS PARK,6000 VICTORY WAY,COMMERCE CITY,CO,80022
268,RETRIEVER ACTIVITIES CENTER,ADMINISTRATION DRIVE,BALTIMORE,MD,21250
269,TOYOTA PARK,7000 S HARLEM AVE,BRIDGEVIEW,IL,60455
270,RFK MEMORIAL STADIUM,2400 EAST CAPITOL STREET SE,WASHINGTON,DC,20003
271,CHASE ARENA AT REICH FAMILY PAVILION,200 BLOOMFIELD AVENUE,WEST HARTFORD,CT,6117
272,MAPFRE STADIUM,1 BLACK AND GOLD BOULEVARD,COLUMBUS,OH,43211
273,TOYOTA STADIUM,6000 WEST MAIN STREET,FRISCO,TX,75034
274,A.J. PALUMBO CENTER,1304 FORBES AVENUE,PITTSBURGH,PA,15282
275,HAGAN ARENA,2450 NORTH 54TH STREET,PHILADELPHIA,PA,19131
276,STUBHUB CENTER,18400 AVALON BOULEVARD,CARSON,CA,90746
277,DALE F. HALTON ARENA,9201 UNIVERSITY BOULEVARD,CHARLOTTE,NC,28223
278,CHARLES E. SMITH ATHLETIC CENTER,600 22ND STREET NW,WASHINGTON,DC,20037
279,RIO TINTO STADIUM,9256 SOUTH STATE,SANDY,UT,84070
280,CINTAS CENTER,PACIFIC AVENUE,CINCINNATI,OH,45207
281,TALEN ENERGY STADIUM,1 STADIUM DRIVE,CHESTER,PA,19013
283,AVAYA STADIUM,1123 COLEMAN AVENUE,SAN JOSE,CA,95110
284,LIACOURAS CENTER,WEST MONTGOMERY AVENUE AND 15TH STREET,PHILADELPHIA,PA,19122
285,REILLY CENTER,CORNELIUS WELCH DRIVE,SAINT BONAVENTER,NY,14478
286,PETERSEN EVENTS CENTER,3719 TERRACE STREET,PITTSBURGH,PA,15260
287,ROBINS CENTER,BOATWRIGHT DRIVE AND CAMPUS DRIVE,RICHMOND,VA,23229
288,THE PAVILION (PENNSYLVANIA),SOUTH ITHAN AVENUE,VILLANOVA,PA,19085
289,USF SUN DOME,4202 EAST FOWLER AVENUE,TAMPA,FL,33617
290,ROSE HILL GYMNASIUM,441 EAST FORDHAM ROAD,BRONX,NY,10458
291,CHAIFETZ ARENA,1 SOUTH COMPTON AVENUE,SAINT LOUIS,MO,63103
292,VERIZON CENTER,610 F STREET NW,WASHINGTON,DC,20001
293,WVU COLISEUM,PATTERSON DRIVE AND MONONGAHELA BOULEVARD,MORGANTOWN,WV,26505
294,THOMAS M. RYAN CENTER,WEST ALUMNI AVENUE AND TOOTELL RD.,KINGSTON,RI,2881
295,MILWAUKEE MILE,640 SOUTH 84TH STREET,WEST ALLIS,WI,53214
296,STREETS OF ST. PETERSBURG,BAYSHORE DRIVE SE,SAINT PETERSBURG,FL,33701
297,TOM GOLA ARENA,WEST OLNEY AVENUE AND ELKINS AVENUE,PHILADELPHIA,PA,19141
298,PETER W. STOTT CENTER,SW PARK AVENUE AND SW COLLEGE STREET,PORTLAND,OR,97201
299,STREETS PRIX OF LONG BEACH,300 EAST OCEAN BOULEVARD,LONG BEACH,CA,90802
300,UNIVERSITY OF DAYTON ARENA,100 ARENA PARK DRIVE,DAYTON,OH,45408
301,REED GYMNASIUM,EAST TERRY STREET AND MEMORIAL DRIVE,POCATELLO,ID,83201
302,REESE COURT,WASHINGTON STREET AND ELM STREET,CHENEY,WA,99004
303,WILLIAM D. MULLINS MEMORIAL CENTER,COMMONWEALTH AVENUE AND CAMPUS CENTER WAY,AMHERST,MA,1003
304,BARBER MOTORSPORTS PARK,6040 BARBER MOTORSPORTS PKY,BIRMINGHAM,AL,35094
305,MILLIS ATHLETIC AND CONVOCATION CENTER,922 COLLEGE DRIVE WEST,HIGH POINT,NC,27262
306,DEDMON CENTER ARENA,101 UNIVERSITY DRIVE,RADFORD,VA,24141
308,ALLEN ARENA,1 UNIVERSITY PARK DRIVE,NASHVILLE,TN,37215
309,VINES CENTER,UNIVERSITY BOULEVARD AND DEMOSS DRIVE,LYNCHBURG,VA,24502
310,MID-OHIO SPORTS CAR COURSE,7721 STEAM CORNERS ROAD,LEXINGTON,OH,44904
311,"JOHN W. POPE, JR. CONVOCATION CENTER",LESLIE CAMPBELL AVENUE AND MAIN STREET,BUIES CREEK,NC,27506
312,BELLE ISLE,STRAND DR.,DETROIT,MI,48207
313,KSU CONVOCATION CENTER,FREY ROAD AND OLD FREY ROAD,KENNESAW,GA,30144
314,WINTHROP COLISEUM,1162 EDEN TERRACE,ROCK HILL,SC,29730
315,STREETS OF BALTIMORE,323 WEST CAMDEN STREET,BALTIMORE,MD,21201
316,CURB EVENT CENTER,2002 BELMONT BOULEVARD,NASHVILLE,TN,37212
317,MCGAW MEMORIAL HALL/WELSH-RYAN ARENA,2705 ASHLAND AVENUE,EVANSTON,IL,60208
318,BELMONT PARK RACE TRACK,2150 HEMPSTEAD TURNPIKE,ELMONT,NY,11003
319,J. OLLIE EDMUNDS CENTER,143 EAST PENNSYLVANIA AVENUE,DELAND,FL,32723
320,VALUE CITY ARENA,555 BORROR DRIVE,COLUMBUS,OH,43210
321,MOUNTAIN STATES HEALTH ALLIANCE ATHLETICS CENTER,STATE OF FRANKLIN ROAD AND JOHN ROBERT BELL DRIVE,JOHNSON CITY,TN,37604
322,WILLIAMS ARENA,1925 UNIVERSITY AVENUE SE,MINNEAPOLIS,MN,55455
323,CHURCHILL DOWNS,700 CENTRAL AVENUE,LOUISVILLE,KY,40208
324,PAUL PORTER ARENA,WEST BRANCH AVENUE,BOILING SPRINGS,NC,28017
325,ROBERT A. MOTT GYMNASIUM,SOUTH PERIMETER ROAD AND LONGVIEW LANE,SAN LUIS OBISPO,CA,93407
326,DEL MAR,2260 JIMMY DURANTE BOULEVARD,DEL MAR,CA,92014
327,GOLDEN GATE FIELDS,1100 EASTSHORE HIGHWAY,ALBANY,CA,94710
328,STUDENT RECREATION CENTER,WEST LINDEN DRIVE AND ABERDEEN ROAD,RIVERSIDE,CA,92507
329,JACKSONVILLE VETERANS MEMORIAL ARENA,A. PHILIP RANDOLPH BOULEVARD,JACKSONVILLE,FL,32211
330,UNF ARENA,11852 UNIVERSITY OF NORTH FLORIDA DRIVE,JACKSONVILLE,FL,32224
331,THE MATADOME,PLUMMER STREET AND LINDLEY AVENUE,NORTHRIDGE,CA,91325
332,MEADOWLANDS RACETRACK,50 STATE ROUTE 120,EAST RUTHERFORD,NJ,7073
333,HAWKINS ARENA,ADAMS STREET AND EDGEWOOD AVENUE,MACON,GA,31207
334,ALLEN FIELDHOUSE,1651 NAISMITH DRIVE,LAWRENCE,KS,66045
335,PIMLICO RACE COURSE,5201 PARK HEIGHTS AVENUE,BALTIMORE,MD,21215
336,UC SANTA BARBARA EVENTS CENTER,OCEAN ROAD AND EL COLEGIO ROAD,SANTA BARBARA,CA,93106
337,SANTA ANITA PARK,285 WEST HUNTINGTON DRIVE,ARCADIA,CA,91007
338,PINNACLE BANK ARENA,400 PINNACLE ARENA DRIVE,LINCOLN,NE,68508
339,TITAN GYMNASIUM,GYMNASIUM CAMPUS DRIVE,FULLERTON,CA,92831
340,SARATOGA RACE COURSE,267 UNION AVENUE,SARATOGA SPRINGS,NY,12866
341,WALTER PYRAMID,MERRIAM WAY AND EAST ATHERTON STREET,LONG BEACH,CA,90815
342,COORS EVENTS CENTER,950 REGENT DRIVE,BOULDER,CO,80303
343,FERRELL CENTER,1900 S. UNIVERSITY PARKS DRIVE,WACO,TX,76706
344,MATTHEWS ARENA,SAINT BOTOLPH STREET AND GAINSBOROUGH STREET,BOSTON,MA,2115
345,KEENELAND,4201 VERSAILLES ROAD,LEXINGTON,KY,40588
346,FRANK ERWIN CENTER,1701 RED RIVER STREET,AUSTIN,TX,78701
347,PATRIOT CENTER,PO RIVER LANE,FAIRFAX,VA,22030
348,LAUREL PARK,ROUTE 198 AND RACETRACK ROAD,LAUREL,MD,20724
349,FRED BRAMLAGE COLISEUM,1800 COLLEGE AVENUE,MANHATTAN,KS,66502
350,STUART C. SIEGEL CENTER,1200 WEST BROAD STREET,RICHMOND,VA,23220
351,ARLINGTON PARK,2200 WEST EUCLID AVE,ARLINGTON HEIGHTS,IL,60005
352,GALLAGHER-IBA ARENA,KNOBLOCK STREET AND W. HALL OF FAME AVENUE,STILLWATER,OK,74075
353,TED CONSTANT CONVOCATION CENTER,4320 HAMPTON BOULEVARD,NORFOLK,VA,23508
354,LONE STAR PARK,2400 N BELT LINE ROAD,GRAND PRAIRIE,TX,75050
355,HILTON COLISEUM,UNIVERSITY DRIVE AND LINCOLN WAY,AMES,IA,50011
356,SECU ARENA,AUBURN DRIVE,TOWSON,MD,21204
357,GULFSTREAM PARK,901 SOUTH FEDERAL HIGHWAY,HALLANDALE BEACH,FL,33009
359,LLOYD NOBLE CENTER,2900 JENKINS AVENUE,NORMAN,OK,73072
360,TRASK COLISEUM,WAGONER ROAD AND HURST DRIVE,WILMINGTON,NC,28403
361,AQUEDUCT RACETRACK,110-00 RACKAWAY BOULEVARD,JAMAICA,NY,11417
362,MIZZOU ARENA,1 CHAMPIONS DRIVE,COLUMBIA,MO,65203
363,MOODY COLISEUM (SMU),BINKLEY AVENUE AND AIRLINE ROAD,DALLAS,TX,75205
364,REYNOLDS CENTER,EAST 8TH STREET AND SOUTH GARY PLACE,TULSA,OK,74112
365,REED ARENA,OLSEN BOULEVARD,COLLEGE STATION,TX,77843
366,MONMOUTH PARK,175 OCEANPORT AVENUE,OCEANPORT,NJ,7757
367,WILLIAMS ARENA AT MINGES COLISEUM,FICKHEN STREET,GREENVILLE,NC,27858
368,RESCH CENTER,1901 SOUTH ONEIDA STREET,GREEN BAY,WI,54304
369,TIMES UNION CENTER,51 SOUTH PEARL STREET,ALBANY,NY,12207
370,CALDER RACE TRACK,21001 NW 27TH AVE,MIAMI GARDENS,FL,33056
372,THE UIC PAVILION,525 SOUTH RACINE AVENUE,CHICAGO,IL,60607
373,HYNES ATHLETIC CENTER,PRESIDENT STREET AND DURAND STREET,NEW ROCHELLE,NY,10801
374,FAIR GROUNDS RACE COURSE,1751 GENTILLY BOULEVARD,NEW ORLEANS,LA,70119
375,U.S. CELLULAR ARENA,400 WEST KILBORNE AVENUE,MILWAUKEE,WI,53203
376,ALUMNI ARENA,WEBSTER ROAD,AMHERST,NY,14221
377,OAKLAWN PARK,2705 CENTRAL AVE,HOT SPRINGS,AR,71901
378,WOLSTEIN CENTER,EAST 18TH STREET AND PROSPECT AVENUE,CLEVELAND,OH,44115
379,JAMES A. RHODES ARENA,373 CARROLL  STREET,AKRON,OH,44325
380,RALPH WILSON STADIUM,1 BILLS DRIVE,ORCHARD PARK,NY,14127
381,UCCU CENTER,WEST 1000 SOUTH AND CAMPUS DRIVE,OREM,UT,84058
382,JOHN E. WORTHEN ARENA,1699 W. WEST BETHEL AVENUE,MUNCIE,IN,47304
384,SUN LIFE STADIUM,2267 NORTH WEST 199TH STREET,MIAMI GARDENS,FL,33056
386,ATHLETICS-RECREATION CENTER,1009 UNION STREET,VALPARAISO,IN,46383
387,THE PAVILION (CALIFORNIA),LA RUE ROAD AND ORCHARD ROAD,DAVIS,CA,95616
388,CARVER ARENA,201 SW JEFFERSON STREET,PEORIA,IL,61602
389,TIGER ARENA,TOMPKINS HEIGHTS,SAVANNAH,GA,31404
390,GILLETTE STADIUM,1 PATRIOT PLACE,FOXBORO,MA,2035
392,UTRGV FIELDHOUSE,WEST VAN WEEK STREET AND NORTH 5TH AVENUE,EDINBURG,TX,78541
393,ARENA-AUDITORIUM,EAST WILLET STREET AND NORTH 19TH STREET,LARAMIE,WY,82072
394,CLUNE ARENA,2169 FIELDHOUSE DRIVE,COLORADO SPRINGS,CO,80840
395,AMERICAN AIRLINES ARENA,601 BISCAYNE BOULEVARD,MIAMI,FL,33132
396,LEVIEN GYMNASIUM,3030 BROADWAY,NEW YORK,NY,10027
397,FIRSTENERGY STADIUM,100 ALFRED LERNER WAY,CLEVELAND,OH,44114
398,MARRIOTT CENTER,500 EAST UNIVERSITY PARKWAY,PROVO,UT,84602
399,GOLDEN 1 CENTER,547 L ST,SACRAMENTO,CA,95814
400,NEWMAN ARENA,CAMPUS ROAD AND GARDEN AVENUE,ITHICA,NY,14853
401,M&T BANK STADIUM,1101 RUSSELL STREET,BALTIMORE,MD,21230
402,PAUL BROWN STADIUM,1 PAUL BROWN STADIUM,CINCINNATI,OH,45202
403,PAUL BAILEY PIZZITOLA MEMORIAL SPORTS CENTER,LLOYD AVENUE AND HOPE STREET,PROVIDENCE,RI,2906
404,STEINBERG WELLNESS CENTER,168 ASHLAND PLACE,BROOKLYN,NY,11201
405,VIVINT SMART HOME ARENA,301 WEST SOUTH TEMPLE,SALT LAKE CITY,UT,84101
406,HEINZ FIELD,100 ART ROONEY AVENUE,PITTSBURGH,PA,15212
407,PAYNE WHITNEY GYMNASIUM,70 TOWER PARKWAY,NEW HAVEN,CT,6520
408,ALLSTATE ARENA,6920 MANNHEIN ROAD,ROSEMONT,IL,60018
409,EVERBANK FIELD,1 EVERBANK FIELD DRIVE,JACKSONVILLE,FL,32202
410,THE PALESTRA,215 SOUTH 33RD STREET,PHILADELPHIA,PA,19104
411,BMO HARRIS BRADLEY CENTER,1001 NORTH 4TH STREET,MILWAUKEE,WI,53233
412,QUICKEN LOANS ARENA,1 CENTER COURT,CLEVELAND,OH,44115
413,ORACLE ARENA,7000 COLISEUM WAY,OAKLAND,CA,94621
414,STATE FARM CENTER,1800 SOUTJ 605 1ST STREET,CHAMPAIGN,IL,61820
415,PETE MATHEWS COLISEUM,PARK AVENUE NW AND NISBET STREET NW,JACKSONVILLE,AL,36265
416,LUCAS OIL STADIUM,500 SOUTH CAPITOL AVENUE,INDIANAPOLIS,IN,46225
417,ASSEMBLY HALL,1001 EAST 17TH STREET,BLOOMINGTON,IN,47408
418,ALEX G. SPANOS CENTER,1178 LARRY HELLER DRIVE,STOCKTON,CA,95211
419,SMOOTHIE KING CENTER,1601 GIROD STREET,NEW ORLEANS,LA,70113
420,NRG STADIUM,1 RELIANT PARK,HOUSTON,TX,77054
421,CFSB CENTER,1401 STATE ROUTE 121,MURRAY,KY,42071
422,TUDOR FIELDHOUSE,6100 MAIN STREET,HOUSTON,TX,77251
423,LP FIELD,1 TITANS WAY,NASHVILLE,TN,37213
424,SHOW ME CENTER,1333 NORTH SPRIGG STREET,CAPE GIRARDEAU,MO,63701
425,MODA CENTER,1 CENTER COURT,PORTLAND,OR,97227
426,CFE ARENA,NORTH GEMINI BLVD,ORLANDO,FL,32765
427,OAKLAND ALAMEDA COLISEUM,7000 COLISEUM WAY,OAKLAND,CA,94621
428,SKYHAWK ARENA,MOUNT PELIA ROAD AND UNIVERSITY STREET,MARTIN,TN,38237
429,AMERICAN AIRLINES CENTER,2500 VICTORY AVENUE,DALLAS,TX,75219
430,ALLEN COUNTY WAR MEMORIAL COLISEUM,4000 PARNELL AVENUE,FORT WAYNE,IN,46805
431,ARROWHEAD STADIUM,1 ARROWHEAD DRIVE,KANSAS CITY,MO,64129
432,MAPLES PAVILION,655 CAMPUS DRIVE,STANFORD,CA,94305
433,ALUMNI GYMNASIUM,2083 LAWRENCEVILLE ROAD,LAWRENCEVILLE,NJ,8648
434,SPORTS AUTHORITY FIELD AT MILE HIGH,1701 MILE HIGH STADIUM CIRCLE WEST,DENVER,CO,80204
435,WALTER A. HAAS PAVILION,BANCROFT WAY AND DANA STREET,BERKELEY,CA,94720
436,WEBSTER BANK ARENA,600 MAIN STREET,BRIDGEPORT,CT,6604
437,QUALCOMM STADIUM,9449 FRIARS ROAD,SAN DIEGO,CA,92108
438,SOJKA PAVILION,ROTC DRIVE,LEWISBURG,PA,17837
439,ALUMNI COLISEUM,KIT CARSON DRIVE AND PARK DRIVE,RICHMOND,KY,40475
440,FEDEX FIELD,1600 FEDEX WAY,LANDOVER,MD,20785
441,STABLER ARENA,124 GOODMAN DRIVE,BETHLEHEM,PA,18015
442,ALASKA AIRLINES ARENA,3870 MONTLAKE BOULEVARD NE,SEATTLE,WA,98105
443,AT&T STADIUM,1 LEGENDS WAY,ARLINGTON,TX,76011
444,MEMORIAL GYMNASIUM (TENNESSEE),25TH AVENUE SOUTH AND VANDERBILT PLACE,NASHVILLE,TN,37212
445,METLIFE STADIUM,1 METLIFE STADIUM DRIVE,EAST RUTHERFORD,NJ,7073
446,PETE MARAVICH ASSEMBLY CENTER,NORTH STADIUM ROAD,BATON ROUGE,LA,70803
447,TD GARDEN,100 LEGENDS WAY,BOSTON,MA,2114
448,MCKALE MEMORIAL CENTER,MARTINE AVENUE AND ENKE DRIVE,TUCSON,AZ,85721
449,LINCOLN FINANCIAL FIELD,1020 PATTISON AVENUE,PHILADELPHIA,PA,19148
450,PEPSI CENTER,1000 CHOPPER CIRCLE,DENVER,CO,80204
451,FORD FIELD,2000 BRUSH STREET,DETROIT,MI,48226
452,RUPP ARENA,430 WEST VINE STREET,LEXINGTON,KY,40507
453,WELLS FARGO ARENA,600 EAST VETERANS WAY,TEMPE,AZ,85281
454,STEGEMAN COLISEUM,CARLTON STREET,ATHENS,GA,30602
455,ALLAN P. KIRBY SPORTS CENTER,700 PIERCE STREET,EASTON,PA,18402
456,STEPHEN C. O'CONNELL CENTER,250 GALE LEMERAND DRIVE,GAINESVILLE,FL,32611
457,LAMBEAU FIELD,1265 LOMBARDI AVENUE,GREEN BAY,WI,54304
458,ALUMNI HALL,DECATUR ROAD AND MCNAIR ROAD,ANNAPOLIS,MD,21402
459,THE PAVILION AT OLE MISS,1 ALL AMERICAN DRIVE,OXFORD,MS,38677
460,SOLDIER FIELD,1410 SOUTH MUSEUM CAMPUS DRIVE,CHICAGO,IL,60605
461,THOMPSON-BOLING ARENA,1600 PHILLIP FULMER WAY,KNOXVILLE,TN,37916
462,BANK OF AMERICA STADIUM,800 SOUTH MINT STREET,CHARLOTTE,NC,28202
463,MCALISTER FIELD HOUSE,HAMMOND AVENUE AND GRIER AVENUE,CHARLESTON,SC,29409
464,GEORGIA DOME,1 GEORGIA DOME DRIVE NW,ATLANTA,GA,30313
465,PHILIPS ARENA,1 PHILIPS DRIVE NW,ATLANTA,GA,30303
466,LISTON B. RAMSEY REGIONAL ACTIVITY CENTER,92 CATAMOUNT ROAD,CULLOWHEE,NC,28723
467,MCKENZIE ARENA,720 EAST 4TH STREET,CHATTANOOGA,TN,37403
468,MERCEDES-BENZ SUPERDOME,1550 SUGAR BOWL DRIVE,NEW ORLEANS,LA,70112
469,UNITED CENTER,1902 WEST MADISON STREET,CHICAGO,IL,60612
470,TIMMONS ARENA,3300 POINSETT HIGHWAY,GREENVILE,SC,29613
471,RAYMOND JAMES STADIUM,4201 NORTH DALE MABRY HIGHWAY,TAMPA,FL,33607
472,CENTURYLINK FIELD,800 OCCIDENTAL AVENUE SOUTH,SEATTLE,WA,98134
473,PRUDENTIAL CENTER,25 LAFAYETTE STREET,NEWARK,NJ,7102
474,HANNER FIELDHOUSE,GEORGIA AVENUE AND HERTY DRIVE,STATESBORO,GA,30458
475,MADISON SQUARE GARDEN,4 PENNSYLVANIA PLAZA,NEW YORK,NY,10001
476,STAPLES CENTER,1111 SOUTH FIGUEROA STREET,LOS ANGELES,CA,90015
477,UNIVERSITY OF PHOENIX STADIUM,1 CARDINALS DRIVE,GLENDALE,AZ,85305
478,MONTAGNE CENTER,4400 SOUTH M L KING JR PARKWAY,BEAUMONT,TX,77705
479,TARGET CENTER,600 FIRST AVENUE NORTH,MINNEAPOLIS,MN,55403
480,FIFTH THIRD FIELD,406 WASHINGTON ST,TOLEDO,OH,43604
481,TALKING STICK RESORT ARENA,201 EAST JEFFERSON,PHOENIX,AZ,85004
482,ISOTOPES PARK,1601 AVENIDA CESAR CHAVEZ SE,ALBUQUERQUE,NM,87106
483,PRATHER COLISEUM,CASPERI STREET AND SOUTH JEFFERSON STREET,NATCHITOCHES,LA,71457
484,CENTENNIAL BANK STADIUM,A STREET AND OLYMPIC DRIVE,JONESBORO,AR,72401
485,TIME WARNER CABLE ARENA,333 EAST TRADE STREET,CHARLOTTE,NC,28202
486,SECURITY SERVICE FIELD,4385 TUTT BLVD,COLORADO SPRINGS,CO,80922
487,ARIZONA STADIUM,1 NORTH NATIONAL CHAMPION DRIVE,TUCSON,AZ,85721
488,STOPHER GYMNASIUM,NSU ACADIA DRIVE AND NSU ELLENDALE DRIVE,THIBODAUX,LA,70310
489,STRAHAN COLISEUM,AQUARENA SPRINGS DRIVE AND CHARLES AUSTIN DRIVE,SAN MARCOS,TX,78666
490,SUN DEVIL STADIUM,500 EAST VETERANS WAY,TEMPE,AZ,85281
491,SOUTHWEST UNIVERSITY PARK,1 BALLPARK PLAZA,EL PASO,TX,79901
492,BANKERS LIFE FIELDHOUSE,125 SOUTH PENNSYLVANIA STREET,INDIANAPOLIS,IN,46204
493,CHUKCHANSI PARK,1800 TULARE ST,FRESNO,CA,93721
494,TOYOTA CENTER,1510 POLK STREET,HOUSTON,TX,77002
495,PALACE OF AUBURN HILLS,2 CHAMPIONSHIP DRIVE,AUBURN HILLS,MI,48326
496,PRINCIPAL PARK,1 LINE DR,DES MOINES,IA,50309
497,CALIFORNIA MEMORIAL STADIUM,STADIUM RIM WAY AND CENTENNIAL DRIVE,BERKELEY,CA,94704
498,UNIVERSITY CENTER,WEST UNIVERSITY AVENUE AND COLLEGE DRIVE,HAMMOND,LA,70401
499,AT&T CENTER,1 AT&T CENTER PARKWAY,SAN ANTONIO,TX,78219
500,CASHMAN FIELD,850 LAS VEGAS BLVD N,LAS VEGAS,NV,89101
501,CHESAPEAKE ENERGY ARENA,100 WEST RENO AVENUE,OKLAHOMA CITY,OK,73102
502,AUTOZONE PARK,200 UNION AVE,MEMPHIS,TN,38103
503,LOS ANGELES MEMORIAL COLISEUM,3911 SOUTH FIGUEROA STREET,LOS ANGELES,CA,90037
504,FIRST TENNESSEE PARK,19 JR GILLIAM WAY,NASHVILLE,TN,37219
506,ZEPHYR FIELD,6000 AIRLINE DR,METAIRIE,LA,70003
507,AMWAY CENTER,CHURCH ST AND DIVISION AVE,ORLANDO,FL,32801
508,ROSE BOWL,1001 ROSE BOWL DRIVE,PASADENA,CA,91103
509,CHICKASAW BRICKTOWN BALLPARK,2 S MICKEY MANTLE DR,OKLAHOMA CITY,OK,73104
510,HANK MCCAMISH PAVILION,965 FOWLER STREET,ATLANTA,GA,30332
511,WERNER PARK,12356 BALLPARK WAY,PAPILLION,NE,68046
512,CAMERON INDOOR STADIUM,TOWNVIEW ROAD,DURHAM,NC,27701
513,ACES BALLPARK,250 EVANS AVE,RENO,NV,89501
514,CASSELL COLISEUM,WASHINGTON STREET AND SPRING ROAD,BLACKSBURG,VA,24060
515,COMCAST CENTER,TERRAPIN TRAIL,COLLEGE PARK,MD,20742
516,DELL DIAMOND,3400 E PALM VALLEY BLVD,ROUND ROCK,TX,78665
517,STANFORD STADIUM,GALVEZ STREET AND NELSON ROAD,STANFORD,CA,94305
518,CONTE FORUM,140 COMMONWEALTH AVENUE,CHESTNUT HILL,MA,2467
519,RALEY FIELD,400 BALLPARK DR,WEST SACRAMENTO,CA,95691
520,BANKUNITED CENTER,1245 WILLIAM E. WALSH AVENUE,CORAL GABLES,FL,33146
521,SMITH'S BALLPARK,77 1300 S,SALT LAKE CITY,UT,84115
522,DEAN E. SMITH CENTER,SKIPPER BOWLES DRIVE,CHAPEL HILL,NC,27514
523,CHENEY STADIUM,2502 S TYLER ST,TACOMA,WA,98405
524,BULLDOG STADIUM,1600 EAST BULLDOG LANE,FRESNO,CA,93740
525,JOHN PAUL JONES ARENA,295 MASSIE ROAD,CHARLOTTTESVILLE,VA,22903
526,PARQUE DE BEISBOL ALBERTO ROMO CHAVEZ,JUAN DE LA BARRERA 102,AGUASCALIENTES,AG,20190
527,LAWRENCE JOEL VETERANS MEMORIAL COLISEUM,499 DEACON BOULEVARD,WINSTON-SALEM,NC,27105
528,ESTADIO REVOLUCION,AV JUAREZ 1822,TORREON,CA,27000
