State,"2,013","2,014","2,015","2,016"
AL,4829479,4843214,4853875,4863300
AK,736879,736705,737709,741894
AZ,6624617,6719993,6817565,6931071
AR,2958663,2966912,2977853,2988248
CA,38335203,38680810,38993940,39250017
CO,5267603,5349648,5448819,5540545
CT,3596003,3591873,3584730,3576452
DE,925395,934948,944076,952065
FL,19582022,19888741,20244914,20612439
GA,9984938,10087231,10199398,10310371
HI,1406481,1416349,1425157,1428557
ID,1612011,1633532,1652828,1683140
IL,12879505,12867544,12839047,12801539
IN,6569102,6595233,6612768,6633053
IA,3091930,3108030,3121997,3134693
KS,2892821,2899360,2906721,2907289
KY,4400477,4413057,4424611,4436974
LA,4626402,4647880,4668960,4681666
ME,1329076,1330719,1329453,1331479
MD,5931129,5967295,5994983,6016447
MA,6706786,6749911,6784240,6811779
MI,9898982,9915767,9917715,9928300
MN,5418521,5453109,5482435,5519952
MS,2990482,2992400,2989390,2988726
MO,6042711,6060930,6076204,6093000
MT,1014314,1022867,1032073,1042520
NE,1868559,1881145,1893765,1907116
NV,2786464,2833013,2883758,2940058
NH,1322687,1328743,1330111,1334795
NJ,8899162,8925001,8935421,8944469
NM,2085193,2083024,2080328,2081015
NY,19673546,19718515,19747183,19745289
NC,9841590,9934399,10035186,10146788
ND,724019,739904,756835,757952
OH,11570022,11594408,11605090,11614373
OK,3852415,3877499,3907414,3923561
OR,3925751,3968371,4024634,4093465
PA,12781338,12790565,12791904,12784227
RI,1053033,1054480,1055607,1056426
SC,4767894,4828430,4894834,4961119
SD,844922,852561,857919,865454
TN,6494821,6544663,6595056,6651194
TX,26473525,26944751,27429639,27862596
UT,2902663,2941836,2990632,3051217
VT,627140,626984,626088,624594
VA,8262692,8317372,8367587,8411808
WA,6968006,7054196,7160290,7288000
WV,1853231,1848514,1841053,1831102
WI,5742854,5758377,5767891,5778708
WY,582684,583642,586555,585501
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,